,Document_No,Dominant_Topic_1,Topic_Keywords_1,Question,Avg_J,Avg_SD,Avg_C
210,210,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","An algorithm has runtime, what is the asymptotic time complexity of this algorithm?
",0.1292767445006864,0.219872671655946,0.23419987930906977
211,211,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Define what a leaf node in a tree is.
",0.10065824187796413,0.175858839283932,0.18815503505316528
212,212,32,"index, definition, low, high, possible, bind, parent, assume, lecture, exist","Order the complexities from lowest to highest growth rate:a = log(n)b = n log (n)c = (log(n))^2d = sqrt(n)e = 2^nf = n^3g = n
",0.09767696208578465,0.1659142028312272,0.178366864860588
213,213,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Which of the following is an AVL Tree:
",0.10234605174490942,0.17829096729620778,0.19092292725938959
214,214,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Insert the following numbers lexicographically in an AVL tree: {5,20,8,9,3,11,4,65,85,35,15,1}.What is the in-order transversal of the tree?
",0.10329937240355612,0.17985696345890018,0.19239677324371213
215,215,4,"store, must, number, able, book, like, quickly, application, product, could","You have been tasked with organizing and storing the books available in a library using their ISBN number. Assuming there is only one copy of any book owned by the library, what data structure should you use to complete your task?Some key considerations:You must be able to remove and add books as neededLookup times must be as short as possibleSpace is not an issueBooks do not need to be sorted, merely stored and retrieved
",0.06390471284797301,0.11754376994567577,0.1310738244347949
216,216,7,"comparison, show, skiplist, factory, memory, resource, exactly, respectively, certain, produce","log212! = 28.8355. What is the minimum number of comparisons needed to sort 12 items?
",0.07369766548059396,0.1353698358410388,0.14482642224839212
217,217,27,"for, follow, int, code, runtime, method, get, correctly, property, class","Given a Linked List, what is the purpose of the following method, if the method call is doesSomething(head):public void doesSomething(Node node) {if(node== null)return;doesSomething(node.next);System.out.println(node.value);}
",0.09926655842275255,0.17202085443241846,0.18143773742093616
218,218,30,"process, sub, describe, current, repeat, deleting, shellsort, leave, treeprocess, typically","The following text describes a type of tree traversal: - Process current node - Process nodes in the left sub-tree - Process nodes in the right sub-treeWhich of the following traversals does the above describe?
",0.04882154882154882,0.09064327485380115,0.09538819262649216
219,219,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the output of the pre-order traversal of the AVL tree which started empty and had the following elements inserted in this order:6, 43, 11, 23, 9, 15
",0.10404800474191282,0.1811587002171069,0.19378548510318896
220,220,48,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","A graph in which all edges go from one vertex to another in a specific direction is known as what?
",0.07644705487800213,0.1392257902744022,0.1513356250833852
221,221,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","Finish the name of this module:Data Structures and _____
",0.08138492846580081,0.14663084112434827,0.16007909577031587
222,222,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","Finish the name of this module:Data Structures and _____
",0.08138492846580081,0.14663084112434827,0.16007909577031587
223,223,29,"hash, table, function, number, bucket, find, use, close, step, insert","In a hash table with 600 slots, after how many insertions is there likely to be (i.e. with probability 0.5 or greater) a collision?
",0.10710604799198052,0.18677322628646958,0.20047683067661556
224,224,54,"go, always, prime, distribution, reduce, collision, stand, little, since, explain","Do hash tables that use a prime number of buckets always increase distribution and reduce collisions, explain why?
",0.05454545454545454,0.10344827586206896,0.11180339887498948
225,225,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Insert 28, 29, 16, 9, 34, 8, 20 in order into an empty AVL Tree. What are the leaf nodes after rebalancing to satisfy the AVL Condition?
",0.10315244416664672,0.17977701605347143,0.1922707358271578
226,226,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","What is the minimum number of comparisons required to sort any permutation of 7 integers?
",0.07402725203612029,0.1339886070986073,0.14216833983503774
227,227,45,"list, link, array, follow, middle, insert, faster, would, add, singly","What is the worst case scenario for finding an element in a singly linked list of size n?
",0.08785647690302144,0.15335551567450373,0.1647665536621128
228,228,45,"list, link, array, follow, middle, insert, faster, would, add, singly","What is the difference between a singly linked list and a skip list?
",0.09312346407413652,0.16173940670554035,0.17302513445974538
229,229,53,"need, company, for, real, system, large, tell, entry, priority, find","You've just started work at a long standing Technology company and your first project is to update old legacy data structures. You are given a closed hash tablewith linear probing containing identification numbers that is no longer being used, but is going to be archived due to its sensitive nature.You are tasked to copy this data into an array for archiving, but first the Load factor needs to be calculated.The closed hash table has 10,000 keys stored in it and you are told any item can be accessed in 3 steps on average. What is the Load Factor?
",0.1108164622396454,0.19645277867537025,0.21285231210647196
230,230,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","During this course a number of data structures have been taught. Generally these structures have worst case space complexity of O(n), with a single exception. One taught data structure has worst case space complexity O(n log(n)). Which of the taught data structures represents this exception?
",0.18748788731381288,0.2915978570675602,0.3035386866895109
231,231,29,"hash, table, function, number, bucket, find, use, close, step, insert","You wish to use open hashing (where each array slot contains a pointer to a linked list). The hash function has the form h(x) = x % 6 and the hash table has slots 0, ... , 5. If you insert the elements 5, 6, 7, 9, 15, 21, 22, 61 in that order, what is the minimum list length at the end?
",0.1073572620514635,0.18708623179684314,0.20093801610603887
232,232,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","An algorithm has runtime T(n) = 0.00149n14+ 100n2+ 48nlog(n) for input of size n. What is the asymptotic time complexity of this algorithm?
",0.13216154657915727,0.22428943988457892,0.23846048358672556
233,233,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","In the context of an AVL Tree, AVL stands for:
",0.10261613879294892,0.17895312686831677,0.19138679086348265
234,234,11,"search, binary, list, name, find, however, average, skip, suppose, interpolation","Imagine you are a software engineer a Honda. Your boss asks you to implement a probabilistic skip list in Java with the probability of a new node being added to each lane decreasing by a factor of 0.5 for each lane as the lane number increases. However, due to lack of server space, she says that you may not use any arrays of size greater than 10 when defining the set of pointers for each node. Roughly how many items can this skip list hold before it can no longer be considered binary search when searching for nodes?
",0.10714229906859978,0.1849776204801951,0.2042074813832234
235,235,29,"hash, table, function, number, bucket, find, use, close, step, insert","What is one disadvantage of using a Hash Table with a small load L?(say, for L < 0.2)
",0.10649980912988798,0.1857493175706046,0.1994113685025142
236,236,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Consider average time complexity for each search algorithm.Select the only true statement.
",0.1316805746142741,0.22377360038865798,0.23768732004994672
237,237,29,"hash, table, function, number, bucket, find, use, close, step, insert","Suppose I have a Close Hash Table with load L, and it takes me on average 1.15 steps to find an item in the table. What is the value of L (to 2 sig.fig.) ?
",0.10721710729601644,0.1869505014801039,0.20051976905091318
238,238,27,"for, follow, int, code, runtime, method, get, correctly, property, class","Two main measures for the efficiency of an algorithm are_________________
",0.0955425578512131,0.1662425033333771,0.17642780261821447
239,239,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Which of the following input Arrays makes insertion sort in ascending order perform the largest number of comparisons?
",0.07606587939177113,0.13735859898477734,0.14536653486108062
240,240,14,"value, operation, perform, similar, expect, many, page, real, note, temp","Consider the following doubly linked list:HEAD - one - two - three - four - five - TAILwhere one is a Node object with integer value 1, prev = HEAD, next = two. This object type is similar for the remaining nodes.What will the list be after performing the following operations:Node temp = New Node(value=7, prev=one, next=three)one.next = temp;three.prev = temp;
",0.08426446474067947,0.1418758489659927,0.14928159821724327
241,241,4,"store, must, number, able, book, like, quickly, application, product, could","An application for a supermarket checkout needs to store products with their serial numbers, and the application must be able to quickly find the product linked to the serial number which has been scanned by the cashier.Should the serial number of the product change, the application should also be able to quickly change the serial number associated with the relevant product. Which of the following data structures would be most appropriate to store the products and serial numbers in memory?
",0.06826327657114913,0.12476921979415807,0.13894754664481326
242,242,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Which of these is correct for the BEST time complexity for the following Algorithms?
",0.13569037133015072,0.22970743730236465,0.24355209889404336
243,243,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the Post-Order Traversal of the tree: 20 / \ 10 28 / \ 5 18 \ 19
",0.10282306726572621,0.17934823760433338,0.19164942613043406
244,244,29,"hash, table, function, number, bucket, find, use, close, step, insert","Using open hashing with ahash function of the form h(x) = x % 7 and a hash table with slots 0, …,6, if you insert the elements 15, 7, 22, 8, 19, 31, 30, 29, 40, 81 in that order, what is the maximum list length at the end?
",0.10785858901897281,0.18795758252157443,0.20157081376036498
245,245,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the recurrence relation for worst case QuickSort, and what is the time complexity in this case?
",0.19008794082859357,0.29627928465659464,0.3083359024129391
246,246,1,"order, consider, runtime, input, size, constant, post, function, print, correct","A quadratic time algorithm uses 70 elementary operations to process an input of size 20. What is the predicted number of elementary operations it will use for an input of size 200?
",0.05832630918279428,0.10775508636434424,0.11928717073504184
247,247,17,"insertion, already, term, label, counter, may, many, suitable, situation, use","Consider the following hypothetical situation:You have a sorting algorithm which uses quicksort 50% of the time, and insertion sort 50% of the time, on average. n input lists arrive such a given list is already completely sorted with probability x, and the rest are random.Give an equality for x in terms of n for when this approach will be quicker than always using Selection sortYou may refer to the below:(Note that because of the hypothetical nature of the question, the answer may seem counter-intuitive, but will make mathematical sense)
",0.04673699798628722,0.08790741706818572,0.12049859727983037
248,248,39,"first, full, town, work, access, part, last, anywhere, remove, face","You work for Spotazon music, and have been asked to implement a data structure to store music playlists. Users will want to be able to easily add/remove tracks from any point in the playlist, and they should be able to skip forward/skip backwards a track. Your brief is to use a data structure that will maximise the speed of these functions. Which of the following data structures would be most appropriate.
",0.07070316185333611,0.12804383276964168,0.13877890730759182
249,249,29,"hash, table, function, number, bucket, find, use, close, step, insert","You use a standard closed hashtable with linear probing (to the right, i.e. in the direction of higher indices). The hash function has the form h(x) = x % 7 and the hash table has slots 0, … , 6. If you insert the elements 18,19,25,701,77,74,y in that order, where y is an unknown integer, what does the hashtable look like at the end?a) 77,701,74,y,18,19,25b) 77,25,701,y,18,19,74c) 77,701,y,19,18,25,74d) 77,18,19,701,25,74,ye) None of the above are correct
",0.10860230553291199,0.18898462092057566,0.20302918217819574
250,250,45,"list, link, array, follow, middle, insert, faster, would, add, singly","Consider the following two lists:List X: List of integers from 1 to 100 (inclusive) in ascending orderList Y: Random permutation of list XWhich of the statements A-D is FALSE (on average)?
",0.09311714140816442,0.16223056134277453,0.17362263335860517
251,251,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which of the following algorithms has the lowest complexity class
",0.18896209690552207,0.2982819669920503,0.3106542276427678
252,252,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","What are the steps taken to complete a Radix Sort on a list of integers?
",0.07698394239217415,0.1390104574623006,0.14685290811363866
253,253,27,"for, follow, int, code, runtime, method, get, correctly, property, class","What is the runtime of the following code?for (int i=0; i < N; ++i) { for (int j=0; j < M/2; j=j*2) { System.out.println(j); if (i%2 == 0) { for (int k=0; k < 2*N; ++k) { System.out.println(i + "" is even""); } } }}
",0.09780207341151066,0.1702752480039236,0.18053947292415717
254,254,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Given the following numbers: 6,2,18,34,13,14.When constructing a perfectly balancedbinary search tree from the numbers in that order, which number is its root?
",0.10283347671063175,0.17946814583270534,0.1916689072959485
255,255,6,"run, second, long, implementation, likely, record, awhich, definitely, refer, instruction","Selection Sort runs for 5 seconds for 100 records. How likely is it likely to run for 10,000 records?
",0.13178184664359288,0.21802980973205774,0.22311539306945638
256,256,27,"for, follow, int, code, runtime, method, get, correctly, property, class","Below is an incomplete code for the class LinkedList.Method 'Get' finds the ith element in the linked list. Which code must go at 'X' for the code to work.public Object get(int i){ if (i<0 || i>=n) { return error; } ListNode node = head; Xreturn node.element;}
",0.09618534762600209,0.16795898432507705,0.1780647333664696
257,257,58,"element, key, bucket, place, contain, balance, add, unbalanced, lane, fill","You have to insert the element ""20"" in this skip list, p = 0.5, max lanes = 5:Which one of the following statements are true?
",0.0967290479006481,0.17585568553310488,0.18844607680294073
258,258,48,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","Below is an example graph. Which of the following adjacency matrices represent this graph?
",0.08033411576224118,0.14527349288860877,0.15738478330243286
259,259,11,"search, binary, list, name, find, however, average, skip, suppose, interpolation","What is the result of shell sorting the data set below with a gap size of 3.56 21 30 43 98 23
",0.10626998538370681,0.18434096976578543,0.20254196535182262
260,260,9,"true, advantage, main, let, off, boolean, follow, prefer, qif, pessimistic","Which of the following is TRUE?
",0.1039309564364644,0.18417945610416447,0.20771671663974517
261,261,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the correct in order traversal of this Binary tree?
",0.10389612905942891,0.18103690814457832,0.19323776146013058
262,262,23,"create, deletion, state, shell, allow, record, surgery, logn, fast, must","Using Dijkstra's algorithm, starting at node S, state the order of nodestraversed before reaching the node B.
",0.023987814465408805,0.04635741351912969,0.050813971116594144
263,263,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Below is an example binary tree. What is the pre-order traversal of this tree?
",0.10463960275630776,0.18217100572855136,0.19429829709354612
264,264,45,"list, link, array, follow, middle, insert, faster, would, add, singly","Which statement about linked lists and arrays is TRUE?
",0.09156132742604174,0.1594958344090924,0.1708195863734349
265,265,29,"hash, table, function, number, bucket, find, use, close, step, insert","Consider a closed hash table with 150 buckets storing 100 items.On average, how many steps of linear probing would it take to find an item?
",0.10888315658064816,0.18949237776794942,0.20337227638067168
266,266,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","The list of numbers {10, 36, 27 22, 4} is to be stored as an AVL Tree.Which numbers, will be the leaves (subtrees with no children) of the left subtree from the root when the tree is balanced?
",0.10427949096976316,0.18168909666526278,0.19391630995983195
267,267,1,"order, consider, runtime, input, size, constant, post, function, print, correct","The following integers are inserted into an empty ALV Tree in the following order: 4, 8, 15, 16, 23, 42. The tree puts the greater integers on the right, and smaller ones on the left e.g 8 would be somewhere to the right of 4. The tree is kept balanced after each insertion. Each node of the tree is then printed using pre-order traversal separated by commas. Nothing is printed if a null node is encountered using this method. Which of the following is the correct output produced?
",0.05678007695762842,0.10526174214409321,0.1206451508415243
268,268,49,"big, theta, notation, omega, exact, estimate, estimation, boundbig, identify, aka","Correct assigments of big O notation forTheta, Omega, Oare:
",0.07103713878713878,0.12525278226153758,0.1265904804121392
269,269,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which of the following sorting algorithms does shellsort make use of?
",0.19091693680151778,0.30101554082965665,0.3131598937925223
270,270,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Which of the following is true for all binary trees?
",0.10502523089237457,0.1828066697417227,0.19507020015708637
271,271,0,"type, point, traverse, coordinate, interface, group, happen, route, various, authority","What are the 2 main types of graph traversal?
",0.11119041638934267,0.18593205030402135,0.20062526125640545
272,272,29,"hash, table, function, number, bucket, find, use, close, step, insert","What can't/shouldn't you do with closed hashtables?
",0.10648088877715618,0.18548577411238934,0.1995377191693026
273,273,21,"merge, positive, great, recurrence, relation, simplicity, power, stooge, looping, algorithmsa","What is an advantage of Heap Sort over Merge Sort?
",0.07692307692307693,0.14285714285714285,0.16770509831248423
274,274,27,"for, follow, int, code, runtime, method, get, correctly, property, class","What is the Big-Theta of this code:void myProgram (int a, int b, int c){ for(int i=0; i<a*a; i++){ for(int j=0; j<b; j++){ if(j==b/2){ for(int k=0; k<c; k++){ System.out.println(""TRUE""); } } else { System.out.println(""FALSE""); } } }}
",0.0950259479842006,0.16633175737404043,0.17617216024614124
275,275,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which three of the following sorting algorithms are stable?:Selection sort,Insertion sort,Bubble sort,Shell sort,Quick sort,Merge sort,Heap sort.
",0.19096500094051025,0.30140471843673267,0.3135212474281094
276,276,34,"log, base, become, function, faster, sufficiently, purple, yellow, green, orange","Two functions have respective time complexities defined by:where log is of base-2.For what value of n does g become faster than f?
",0.06666666666666667,0.125,0.13483997249264842
277,277,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Consider the following tree:What would be the result of printing the values of each node via POST-ORDER traversal?
",0.10486807697484388,0.18257237429925413,0.19470765234046764
278,278,45,"list, link, array, follow, middle, insert, faster, would, add, singly","Which of the following code snippets would correctly remove the nthelement, n, of a doubly-linked list?
",0.09323409974664687,0.16249553196602304,0.1736904531582291
279,279,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which of the following sorting algorithm is stable and has average time complexity of nlog(n)
",0.19313450958045417,0.3046914766705129,0.31682081338330226
280,280,58,"element, key, bucket, place, contain, balance, add, unbalanced, lane, fill","Assume that we have a perfect skip list (as described in 2019 coursework 2 Q3... ""every element is linked to the next, even numbered elements are also linked to the one 2 ahead, elements whose number is divisible by 4 are also linked to the one 4 ahead, and so on by powers of 2."").The skip list contains 32768 elements. How many elements have at least 11 lanes?
",0.10455368451215055,0.18862520711865632,0.20433893344521148
281,281,40,"node, next, object, previous, doubly, pointer, pointerthe, head, link, contain","A binary tree has a depth of 6, it is full on all levels except for the bottom. The bottom level contains 4 nodes, how many nodes are there in the tree?
",0.07858941191925436,0.1422125478567515,0.1568790996926808
282,282,35,"statement, follow, false, child, rule, position, new, mean, involve, mistake","Which of the following statements are true?
",0.19423941191362026,0.30622647977162687,0.3184523151114707
283,283,59,"int, while, return, integer, problem, random, count, sum, birthday, test","What is the time complexity of the following extract of code?System.out.println(""Hello world"");for(int i = 0; i < n; i++){ System.out.println(""Test"");}for(int j = 0; j < n; j++){ System.out.println(""Test"");}
",0.12968907028781326,0.21937332703640477,0.22928654595764103
284,284,49,"big, theta, notation, omega, exact, estimate, estimation, boundbig, identify, aka","which of the following defines Big-O notation where g(n) = O(f(n))?
",0.07409555629555628,0.13099729970085566,0.13241793755208298
285,285,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Which one of the following data structures has the average search time complexity ofT(1)?
",0.1373630720242776,0.23225820652760445,0.24591459654847447
286,286,48,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","If we cube the adjacency matrix of a directed graph, what should happen?
",0.08175148092408373,0.14759396518670834,0.1596410824272717
287,287,1,"order, consider, runtime, input, size, constant, post, function, print, correct","For the following piece of Java code, select the worst case runtime from the options given.N.B. You can assume that printing a string to console takes constant time.public static void function (int N) { for (int i = 1; i < N; i++) { for (int j = 1; j < N; j = j * 2) { System.out.println(""hello world""); } }}
",0.05631755248118991,0.10456005277177143,0.1204518292206373
288,288,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What option has the correct definitions of each of the following:leafComplete (Full) Binary treeBinary tree
",0.10480376456432336,0.18254826531763824,0.194578965706589
289,289,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","which of these options is in the order of:pre-order TraversalIn-order TraversalPost-order Traversal
",0.10465471202955068,0.1823669843909265,0.1943171667747569
290,290,1,"order, consider, runtime, input, size, constant, post, function, print, correct","Order the following Big O runtimes from largest to smallest:O(log n), O(1), O(n log n), O(n), O(), O()
",0.05431274534341156,0.10105213693436581,0.11544728447471571
291,291,29,"hash, table, function, number, bucket, find, use, close, step, insert","If the closed hash table with linear probing has a load factor of 0.30, what is the average number of steps to insert/find an item.
",0.10927338683084807,0.1895223000658222,0.2035711868205463
292,292,21,"merge, positive, great, recurrence, relation, simplicity, power, stooge, looping, algorithmsa","What is the correct recurrence relation for merge sort (when N, the number of elements of the list being sorted, is greater than 1 and a positive power of 2 for simplicity)?
",0.07692307692307693,0.14285714285714285,0.16770509831248423
293,293,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the best, average and worst case complexity of selection sort?
",0.20095253045210357,0.3099324401949822,0.32149719445351355
294,294,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Perform 1 pass of h-sort on the following array taking h to be 4.1D array = 31, 6, 4, 21, 12, 84, 19, 62, 4, 11, 1, 91Output will be?
",0.07680470410826078,0.1388158052446881,0.14648259253020618
295,295,49,"big, theta, notation, omega, exact, estimate, estimation, boundbig, identify, aka","What is the formal definition of 'Big-Omega' , for a positive function f(n)?
",0.07522288822288821,0.1332022959274425,0.1345112824255148
296,296,45,"list, link, array, follow, middle, insert, faster, would, add, singly","Assume you are deleting an element (called 'node') from the middle of a doubly-linked list equipped with prev and next references. Which of the following lines of code would correctly delete the element in the list?
",0.09511973095485252,0.16571503809023905,0.17740239472244018
297,297,11,"search, binary, list, name, find, however, average, skip, suppose, interpolation","Three types of search that we can use to find an element in an ordered set of data are binary search, interpolation search and linear search. What are their complexities?
",0.10345489528534278,0.18022282444517823,0.1976734668323094
298,298,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","I add the following numbers to a Binary Search Tree in this order: 13, 5, 19, 8, 7, 16, 18, 12, 17What is the depth of the tree? What is the minimum number of nodes I would need to add to make it complete?
",0.104568346195236,0.182314426208451,0.19451745431106182
299,299,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which of the following algorithms is stable?
",0.19869965886027988,0.31132623157411815,0.3237588357577914
300,300,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Given the AVL tree:When the value of 12 is inserted, which rotation is required in order to balance the tree?
",0.10484949150564536,0.18283143174692626,0.19496490671188368
301,301,40,"node, next, object, previous, doubly, pointer, pointerthe, head, link, contain","The following is code for a Node for a particular ADT. Which ADT is it?class Node{ public Object element; public Node[ ] next; public Node(Object o){ element = o; next = new Node[5]; }}
",0.07390844714147046,0.13444261549360736,0.14754336859717834
302,302,29,"hash, table, function, number, bucket, find, use, close, step, insert","Using the hash function h(x) = x%5, insert the elements 31, 60, 7, 46, 73, 82, 9, 57, 23, 92, 28 into an open hash table with slots 0,...,4. Which of the following options shows the third element of the longest list after the insertions?
",0.1090892770688951,0.18932730292359207,0.2033119754953186
303,303,17,"insertion, already, term, label, counter, may, many, suitable, situation, use","What is the loop invariant of insertion sort?
",0.03899507515396799,0.07372112864274075,0.10854491203004277
304,304,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Suppose a Binary Search Tree contains a collection of surnames. Which type of tree traversal would you use to print these names alphabetically?
",0.10420995072923062,0.18183855639514185,0.19387252628760612
305,305,45,"list, link, array, follow, middle, insert, faster, would, add, singly","Define Singly Linked List.
",0.0891149598944067,0.15529492530125324,0.16636847572189242
306,306,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is mean by binary trees are identical?
",0.1033978991605678,0.1805142515465062,0.19249765478275466
307,307,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Choose the correct steps of insertion sorting on the array below: 7 6 2 5 1
",0.0773153696114236,0.13986447291423704,0.14728141140842285
308,308,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Choose the correct steps of insertion sorting on the array below: 7 6 2 5 1
",0.0773153696114236,0.13986447291423704,0.14728141140842285
309,309,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the in-order traversal of the tree seen below? 8 / \ 6 9 / \ \ 2 7 15 /1
",0.10380265026177402,0.18116664341824787,0.19309381659194902
310,310,16,"statement, follow, false, child, rule, position, new, mean, involve, mistake","f(n) = 2, g(n) = 56 log(n), h(n) = 17n log(n)Which of the following statements is correct?
",0.1885657368225957,0.29850455650572427,0.31782504723194477
311,311,23,"create, deletion, state, shell, allow, record, surgery, logn, fast, must","When creating a new hashtable, why should we create it such that it has a prime number of buckets?I.e. we should only create hashtables w/ a prime number of buckets, for example 2021 buckets rather than 2000.
",0.02781708595387841,0.0535794320172758,0.05764631044561166
312,312,14,"value, operation, perform, similar, expect, many, page, real, note, temp","If N = 91, and k 1 mod 72, then mod N.What is the value of ?
",0.08528658686716069,0.1448567336272789,0.1516805534305864
313,313,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Here is a binary tree: 10 / \ 5 15 / / \2 11 20 / 18What would the preorder traversal be?
",0.10354178129442437,0.18079372342229205,0.19262548386856634
314,314,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Take the input array: [49, 42, 67, 85, 23, 56, 34, 15]. After one iteration of h-sorting (the underlying operation in Shellsort) with h = 4, what is the resulting array?
",0.07616210086684262,0.13794248622696623,0.1452013537018755
315,315,29,"hash, table, function, number, bucket, find, use, close, step, insert","Let there be a standard, closed hash table with linear probing from left to right, with slots from 0 to 10. Consider a hash function h(x) = x % 11. Inserting elements in order: 19, 30, 41, 1110, 9, 17, 108, 555, 125, 234, 5. What does the hash table look like at the end?
",0.10912535162579512,0.18941319220971514,0.20340663264673028
316,316,29,"hash, table, function, number, bucket, find, use, close, step, insert","An closed hash table of length 10 is used with hash function h(k)=k%10, and linear probing. After inserting 6 values into an empty hash table, the table is as shown below.012 423 234 345 526 467 3389In what order where the values inserted?
",0.10904064422141813,0.18940316314858746,0.20334263355842866
317,317,48,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","Supposeis the adjacency matrix representing a graph. Which of the following is the matrix representing vertices that areedges apart, whereis a natural number?
",0.0842313313721788,0.15179740586790857,0.16381618731229552
318,318,27,"for, follow, int, code, runtime, method, get, correctly, property, class","What is the best case time complexity for the following code snippet:public static void sort(int[]array) { for(int i = 0; i<array.length-1; i++) { int min = array[I]; int minIndex = I; for(int j = i+1; j<array.length;j++) { if(array[j]<min) { min = array[j]; minIndex = j; } } int temp = array[minIndex]; array[minIndex] = array[I]; array[i] = temp; }}
",0.09626656015989735,0.16852079905557452,0.17864729584486316
319,319,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Below this paragraph is a diagram of tree; A / \ B C / \D EConsidering with the list of values, describe how 'Post-order' search / traversal is done by showing what the output would be for this search / traversal method:
",0.1033141950835011,0.1804964728451129,0.19246332432523303
320,320,29,"hash, table, function, number, bucket, find, use, close, step, insert","Regarding Hash Tables, which of the followingstatements is false?
",0.10807496607814085,0.18786926053742165,0.20201724484583097
321,321,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","What is the best time complexity for sorting a sorted list using selection sort?
",0.0761648546792544,0.1379471980783902,0.1451369588256623
322,322,9,"true, advantage, main, let, off, boolean, follow, prefer, qif, pessimistic","Let p = 5. What is 29equivalent to mod p? Hint: see lecture 11b 2019
",0.09816540044713266,0.17560718069519768,0.19292475436195314
323,323,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","What is the average case time complexity of insertion sort?
",0.1409656091304041,0.23699706153806657,0.250889184556283
324,324,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which of the following sorting algorithms is stable?
",0.19926687937004514,0.3120079063770899,0.3236718787632046
325,325,29,"hash, table, function, number, bucket, find, use, close, step, insert","A company wants to store 10,000 values in a closed hash table using linear probing to find values.To be fast enough, they require values to be found in no more than three steps of linear probing on average.What is the minimum number of buckets that should be used for the closed hash table for this condition to be met?
",0.10824367504378288,0.18823978097770944,0.2025578318923207
326,326,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Consider the following AVL tree:After inserting the value 7, what sequence of rotations would be required to rebalance the tree?(The subtrees at which rotations are applied are left unspecified)
",0.1029718047042118,0.1799939917213254,0.19190408603322026
327,327,9,"true, advantage, main, let, off, boolean, follow, prefer, qif, pessimistic","Let p and q be primes such that p*q = N and p != q.If (p-1)(q-1) = 36What is N?
",0.08850768545775499,0.15921613564084405,0.1733020513249832
328,328,48,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","This adjacency matrix shows who is friends with who.Which node has the most friends?
",0.08327476886093668,0.15019646745911533,0.1620805502984494
329,329,27,"for, follow, int, code, runtime, method, get, correctly, property, class","What doesSystem.currentTimeMillis() measure?
",0.09094512138837167,0.1593379675276241,0.1699551609910656
330,330,0,"type, point, traverse, coordinate, interface, group, happen, route, various, authority","What is 413 mod 7?
",0.11941771865013483,0.1962178640421682,0.210149453301128
